strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
GCF_900500685.1	Klebsiella pneumoniae	strong	98	366321	771847	5488605	no	-	ST35	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi37	KL22	none	Very high	99.49%		O1v1	none	Very high	98.10%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-33	-	-	-	-	-	-	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500695.1	Klebsiella pneumoniae	strong	161	165804	419342	5714727	no	-	ST258	1	3	9	8	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.98%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	-	-	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500775.1	Klebsiella pneumoniae	strong	267	165804	450242	6090454	no	-	ST258	1	3	9	11	ybt 13; ICEKp2	299-1LV	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.97%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12;dfrA14.v1^	TEM-1D.v1^	-	-	-	KPC-2;OXA-48	-	-	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126*-40%	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500785.1	Klebsiella pneumoniae	strong	125	212115	623375	5217315	no	-	ST20	0	0	1	0	-	0	-	0	-	0	-	0	-	0	-	wzi84	KL28	none	Very high	99.17%		O2v2	?-	Good	98.38%	"O1/O2v2_04_glf,O1/O2v2_09_gmlB,O1/O2v2_10_gmlA"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	GyrA-83L	-	-	ST20	2	3	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500795.1	Klebsiella pneumoniae	strong	155	159771	450036	5691243	no	-	ST258	1	3	9	9	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?-	Good	99.98%	KL106_17	O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-2	-	-	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%;SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500815.1	Klebsiella pneumoniae	strong	94	177738	456276	5554858	no	-	ST258	1	3	4	2	ybt 13; ICEKp2	299-1LV	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.98%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	SHV-129?-81%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131*	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500825.1	Klebsiella pneumoniae	strong	85	189915	414594	5333290	no	-	ST6	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi7	KL7	none	Very high	98.53%		O1v1	none	Very high	98.62%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	-	ST6	2	10	1	1	14	3	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500835.1	Klebsiella pneumoniae	strong	134	191018	455662	5637183	no	-	ST258	1	3	5	4	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.98%		O2v2	none	Very high	98.48%		aac(6')-Ib'.v1;aph3-Ia.v1^	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-2	SHV-11.v1	35Q	OmpK35-25%;OmpK36GD	MgrB-60%	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500845.1	Klebsiella pneumoniae	strong	53	311045	739151	5242656	no	-	ST147	0	0	1	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Very high	99.99%		O2v1	?-	Good	98.64%	O1/O2v1_06_wbbO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	OmpK35-48%;OmpK36GD	-	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500855.1	Klebsiella pneumoniae	strong	99	279570	530593	5376193	no	-	ST491	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi108	KL118	none	Very high	99.94%		OL101	-	High	94.75%	OL101_09_glycosylhydrolase	aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST491	51	1	5	1	9	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500865.1	Klebsiella pneumoniae	strong	57	348578	1488507	5298962	no	-	ST610	1	0	0	0	ybt 4; plasmid	221-4LV	-	0	-	0	-	0	-	0	-	wzi305	KL55	*	Very high	96.22%		O3/O3a	*	Very high	95.50%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	-	ST610	4	5	1	29	1	4	23	30	34	37	44	47	104*	102*	25	23*	45	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rmpC_12*-0%
GCF_900500915.1	Klebsiella pneumoniae	strong	541	318788	917888	5594899	no	-	ST268	0	2	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi95	KL20	none	Very high	99.92%		O2v1	none	Very high	98.97%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	OXA-58	SHV-11.v1^	35Q	-	-	-	-	-	ST268	2	1	2	1	7	1	81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500925.1	Klebsiella pneumoniae	strong	124	200992	540815	5870608	no	-	ST383	0	0	7	14	-	0	-	0	-	0	-	0	-	0	-	-	KL30	-+*	Good	96.39%	"KL30_03_wzi,KL30_15_wcuG"	O1v2	none	Very high	98.43%		aac(3)-Ia*;aac(6')-Ib3^;aadA;aadA2^;aph(3')-Ia*?;strA.v1*;strB.v1	-	-	-	-	mphA	floR.v2*	-	sul1;sul2	tet(A).v1?	-	dfrA1.v2;dfrA12	-	-	-	-	-	SHV-1	-	-	-	GyrA-83F;GyrA-87N;ParC-80I	-	CMY-4.v1?-0%;CMY-44*?-62%	ST383	2	6	1	3	8	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500955.1	Klebsiella pneumoniae	strong	246	646959	1368503	5855807	no	-	ST323	0	0	6	8	-	0	-	0	-	0	-	0	-	0	-	wzi262	KL21	none	Very high	100.00%		O3b	none	Very high	99.19%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	tet(A).v1	-	dfrA12?;dfrA14.v1^	OXA-1	-	-	-	-	SHV-1^	-	-	-	-	fosA7*-15%	-	ST323	2	1	1	1	9	1	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500975.1	Klebsiella pneumoniae	strong	73	419232	738913	5393962	no	-	ST30	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Very high	99.89%		O1v1	none	Very high	98.65%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-71	146V	-	-	-	-	-	ST30	5	3	1	1	9	4	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500985.1	Klebsiella pneumoniae	strong	791	286462	601736	5861989	no	-	ST42	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi33	KL64	none	Very high	99.84%		O1v1	none	Very high	99.33%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1	-	-	-	-	-	OXA-164?-0%;aph3-Ia.v1?-0%;sul1?-0%	ST42	2	6	1	3	8	1	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501015.1	Klebsiella pneumoniae	strong	72	364820	1128941	5655379	no	-	ST1823	0	0	1	1	-	0	-	0	-	0	-	0	-	0	-	wzi351	KL113	*	Very high	96.69%		O1v2	none	Very high	99.18%		-	-	-	-	-	-	-	-	-	tet(D)	-	-	-	-	-	-	-	SHV-1*	-	-	-	-	-	-	ST1823	2	1	1	1	1	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501025.1	Klebsiella pneumoniae	strong	60	367920	857799	5366817	no	-	ST234	1	0	0	0	ybt 4; plasmid	65	-	0	-	0	-	0	-	0	-	wzi272	KL30	*	Very high	96.37%		O1v2	none	Very high	99.54%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-27	156D	-	-	-	-	-	ST234	2	1	2	1	7	1	24	23	27	30	18	13	65	61	9	18	26	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
